1000 80000
274 635 884
274 679 2974
274 310 3358
406 679 354
635 976 1958
311 635 4015
68 635 2280
406 706 940
310 337 4872
218 635 1009
433 976 1293
274 463 1978
218 791 1523
337 708 2417
218 558 3593
59 679 3779
433 786 4784
52 311 782
463 669 1702
461 679 2424
706 783 3202
36 433 1764
274 846 4016
351 791 1585
643 706 3415
679 894 3740
246 461 2554
68 849 3119
68 634 284
59 676 2258
444 846 2159
894 895 3241
68 816 2494
702 783 3366
791 987 3585
619 634 1312
461 871 3113
128 337 723
639 791 3213
36 418 274
128 899 85
52 452 3195
85 976 3165
567 894 330
245 849 1580
351 994 777
424 567 4749
558 568 4799
358 568 845
246 382 4222
182 567 159
734 791 1985
85 858 2516
345 418 1389
635 910 4647
382 997 1999
469 706 3424
182 690 1758
734 813 1951
274 341 2355
192 452 1028
562 679 3743
279 469 1356
210 433 1371
619 750 1255
61 418 2926
91 345 1847
583 706 4730
85 493 4587
562 579 4800
462 579 4062
288 424 910
36 225 3257
276 894 126
358 602 3168
578 871 4864
309 997 2132
192 364 4699
813 851 1244
977 987 3344
763 976 794
433 919 1831
506 669 43
36 241 606
172 910 390
38 382 310
50 462 1473
325 976 3625
406 951 3368
86 643 610
280 506 344
61 637 3227
507 669 748
382 594 3805
697 871 1877
110 919 795
288 393 3887
393 822 1600
635 959 3177
241 476 4290
657 783 573
259 851 47
866 871 97
121 871 3151
382 399 3821
50 905 2762
42 52 3510
182 865 1972
104 594 2851
773 905 693
838 895 2758
577 594 2966
469 572 4541
182 630 3977
143 345 2346
791 929 2928
676 688 1439
180 568 2753
152 558 190
790 851 2193
68 282 872
52 974 4446
395 851 1436
251 846 3089
207 364 4538
73 104 2148
182 917 4361
558 700 488
223 259 190
121 212 715
521 562 3454
311 907 56
635 728 1645
36 357 1646
174 345 2440
630 752 382
414 987 2592
780 959 1839
158 791 1088
129 851 2196
143 942 2025
565 676 1657
288 928 3660
686 708 4762
615 750 2848
136 357 2413
456 669 3372
152 368 4440
456 760 4967
181 849 4326
210 698 2342
53 846 2046
502 700 2175
410 643 4964
393 867 4243
246 318 2908
86 964 1648
603 639 4861
196 929 3600
91 435 3043
315 634 2420
62 676 215
521 714 2710
673 910 3474
212 420 4765
95 558 3399
