1000 1200
17 349 1514
349 920 2754
17 674 1917
608 920 3662
342 674 4725
484 674 3112
349 864 4293
427 484 3849
349 983 79
608 696 2058
553 674 1603
17 44 3816
361 920 2498
369 920 2958
361 534 3896
369 819 231
361 871 1706
253 983 2484
44 569 1348
359 864 3805
84 608 1830
527 871 4955
176 342 4856
557 920 45
88 361 3091
372 534 4321
17 157 3282
157 636 934
384 553 1737
674 906 2863
488 557 2245
369 932 2178
84 942 2244
157 241 1362
488 978 174
768 906 3083
829 920 3748
44 323 996
129 819 4136
364 864 4217
44 468 4277
859 983 3929
387 942 2384
12 819 4949
12 919 464
684 768 1707
369 975 3466
241 935 2074
488 838 3808
157 482 734
47 768 1339
658 975 3302
66 534 4118
498 932 1092
330 983 1597
636 721 1317
349 928 1822
84 672 210
142 696 4782
204 534 4382
330 632 1207
473 674 1481
208 932 4641
145 253 2964
44 648 927
906 913 2910
387 501 4715
46 369 4695
102 176 1589
199 323 1603
331 361 863
174 983 1417
253 620 2757
84 105 4532
262 427 4347
434 658 641
494 864 4271
384 579 146
205 913 1473
498 712 4715
553 816 368
648 858 12
335 829 4335
262 907 4310
387 401 3119
482 799 393
97 199 2487
323 725 4708
97 652 2426
859 874 926
445 684 808
566 935 4182
262 475 3807
514 712 470
721 723 4363
199 990 78
364 507 4979
427 878 4054
327 674 4462
252 498 2082
205 861 1750
783 928 1293
593 712 4484
337 501 3736
47 912 3949
100 252 3234
176 399 1892
401 664 1652
232 253 1207
379 632 2885
188 652 638
696 805 4156
53 327 1457
579 945 2396
195 361 2985
715 805 3069
105 538 1066
498 719 2408
47 222 1263
725 901 1699
44 115 3759
364 575 726
462 684 3951
305 566 1517
199 219 4480
434 846 4863
66 76 90
105 136 2710
157 698 3736
87 331 2296
369 984 2486
54 593 4677
488 765 2425
66 348 2810
161 241 1927
177 342 3614
359 477 1599
346 575 251
732 874 801
332 846 2895
648 655 1640
35 906 2611
655 661 3367
511 514 548
381 912 4603
378 829 816
106 906 2479
298 698 2203
335 424 3805
608 931 843
378 474 2508
672 836 153
511 895 2757
628 783 3553
102 234 2651
433 983 4491
27 931 1785
182 920 3307
42 174 1886
42 193 3670
47 479 4615
305 354 990
106 821 4940
528 819 3295
166 859 2654
240 361 283
207 983 3734
663 990 1571
696 923 3602
234 408 2184
538 818 4940
661 729 2897
579 903 2323
204 702 3397
911 984 150
607 978 4891
195 971 2646
510 945 2352
871 940 467
482 877 2953
76 580 802
44 73 4714
765 982 4958
401 568 1550
9 719 3277
82 305 3663
161 764 1732
425 702 2056
266 620 3437
168 895 834
490 919 3431
501 970 2684
66 137 1415
306 674 407
85 514 2126
619 838 4600
240 793 2859
372 875 3687
292 379 3531
696 708 48
1 384 2006
569 682 2015
47 657 91
17 704 1570
87 629 1391
397 821 1234
35 548 626
175 836 2338
275 372 3114
136 671 4930
412 684 2677
462 929 710
387 910 3440
29 663 491
55 488 3197
365 819 986
19 275 21
166 640 2233
335 418 170
12 980 85
227 684 761
603 664 556
102 431 326
65 836 2563
123 935 4320
232 356 4435
53 589 734
77 292 4409
170 208 1546
369 900 4382
54 882 4629
84 987 2332
27 797 1939
7 182 3578
922 932 2889
73 246 4674
657 701 1132
19 543 193
977 990 283
255 701 3887
35 994 3848
632 798 3400
20 557 683
102 946 3946
436 913 1184
367 479 4424
604 805 426
5 657 2710
42 558 1847
429 903 4053
387 800 2790
113 629 4761
331 442 935
639 920 3042
53 683 714
442 795 264
579 746 2130
232 995 2810
358 799 3299
361 943 4921
548 866 1906
188 294 2880
327 353 652
468 750 3095
445 623 450
484 692 2625
554 657 4115
13 358 4890
717 846 1378
385 975 733
397 754 994
92 798 4692
142 312 4607
21 335 2921
129 992 3519
513 978 3053
21 991 4881
35 730 2984
218 928 4532
160 168 1816
170 634 691
703 975 4765
55 602 3031
501 627 4188
5 437 286
337 801 1402
102 699 195
106 362 3597
228 433 2798
266 542 2189
290 992 3742
225 604 4184
639 938 747
168 822 2774
392 602 2681
225 656 2858
657 873 2666
44 282 218
134 874 403
494 766 209
151 298 2186
102 905 4691
83 648 3782
618 663 753
408 471 3767
168 288 574
915 970 528
381 420 4272
425 916 3994
207 722 2955
616 900 947
100 377 2554
29 154 407
372 973 1928
360 379 3485
294 388 87
271 377 3758
124 335 671
